"User Guide","Benutzerhandbuch"
"Extension is disabled","Erweiterung ist deaktiviert"
"Incorrect API credentials","Falsche API-Anmeldedaten"
"Validation settings are correct","Validierungseinstellungen sind korrekt"
"UPS","UPS"
"USPS","USPS"
"Google","Google"
"Empty Google API key.","Leeren Sie den Google API-Schlüssel."
"Incorrect response from UPS API.","Falsche Antwort von UPS API."
"Empty UPS credentials.","Leere UPS-Anmeldeinformationen"
"Only addresses from USA can be checked","Nur Adressen aus den USA können überprüft werden"
"Empty USPS Account ID.","Leere USPS-Konto-ID."
"Incorrect response from USPS API.","Falsche Antwort von USPS API."
"Please enter all required address fields","Bitte geben Sie alle erforderlichen Adressfelder ein"
"Validation mode <' . . '> is not supported","Validierungsmodus <'. . '> wird nicht unterstützt"
"[XML2Array] Error parsing the XML string.","[XML2Array] Fehler beim Parsen der XML-Zeichenfolge."
"[XML2Array] The input XML object should be of type: DOMDocument.","[XML2Array] Das XML-Eingabeobjekt sollte vom Typ DOMDocument sein."
"'[XMLParser] Illegal character in attribute name. attribute: ' . . ' in node: ' .","'[XMLParser] Unzulässiges Zeichen im Attributnamen. Attribut: '. . 'in Knoten:'."
"'[XMLParser] Illegal character in tag name. tag: ' . . ' in node: ' .","'[XMLParser] Unzulässiges Zeichen im Tag-Namen. Etikett: ' . . 'in Knoten:'."
"Please review your address and make any necessary changes.","Bitte überprüfen Sie Ihre Adresse und nehmen Sie gegebenenfalls Änderungen vor."
"Suggested Address ...","Empfohlene Adresse ..."
"Address Validation Failed","Adressvalidierung fehlgeschlagen"
"Continue","Fortsetzen"
"Address Validation","Adressvalidierung"
"IWD Agency","IWD-Agentur"
"Info","Info"
"Version","Ausführung"
"Documentation","Dokumentation"
"General","Allgemeines"
"Enable","Aktivieren"
"Allow Invalid Address Checkout","Ungültige Adressüberprüfung zulassen"
"If yes, then customers with an invalid address will be able to place their order. If no, customer will have to provide a valid address to place order.","Wenn ja, können Kunden mit einer ungültigen Adresse ihre Bestellung aufgeben. Wenn nein, muss der Kunde eine gültige Adresse für die Bestellung angeben."
"Content","Inhalt"
"Validation Pop-up Title","Validierungs-Popup-Titel"
"Invalid Address Message","Ungültige Adressnachricht"
"Original Address","Ursprüngliche Adresse"
"Suggested Address","Empfohlene Adresse"
"Validation Settings","Validierungseinstellungen"
"Validation Service","Validierungsdienst"
"Test Mode","Testmodus"
"Login","Anmeldung"
"Password","Passwort"
"Access Key","Zugangsschlüssel"
"Display Address Type","Adresstyp anzeigen"
"Allow to display type (Residential/Commercial) of suggested address in validation pop-up.","Erlaubt die Anzeige des Typs (Privat / Gewerbe) der vorgeschlagenen Adresse im Bestätigungs-Popup."
"Account ID","Konto-ID"
"API Key","API-Schlüssel"
"<a href=""https://developers.google.com/maps/documentation/geocoding/get-api-key"" target=""_blank"">Get a Key for Google Maps Geocoding API.</a>","<a href=""https://developers.google.com/maps/documentation/geocoding/get-api-key"" target=""_blank""> Holen Sie sich einen Schlüssel für die Geokodierungs-API von Google Maps. </a>"
"Use Original Address","Verwenden Sie die ursprüngliche Adresse"
"Use Suggested Address","Verwenden Sie die vorgeschlagene Adresse"
"Please review your billing address and make any necessary changes.","Bitte überprüfen Sie Ihre Rechnungsadresse und nehmen Sie gegebenenfalls Änderungen vor."
