"User Guide","用戶指南"
"Extension is disabled","擴展功能被禁用"
"Incorrect API credentials","API憑證不正確"
"Validation settings are correct","驗證設置是正確的"
"UPS","UPS"
"USPS","USPS"
"Google","谷歌"
"Empty Google API key.","清空Google API密鑰。"
"Incorrect response from UPS API.","來自UPS API的錯誤回應。"
"Empty UPS credentials.","清空UPS憑據。"
"Only addresses from USA can be checked","只有來自美國的地址才能被檢查"
"Empty USPS Account ID.","空的USPS帳戶ID。"
"Incorrect response from USPS API.","來自USPS API的錯誤回應。"
"Please enter all required address fields","請輸入所有必填的地址欄"
"Validation mode <' . . '> is not supported","驗證模式<'。 。 '>不支持"
"[XML2Array] Error parsing the XML string.","[XML2Array]解析XML字符串時出錯。"
"[XML2Array] The input XML object should be of type: DOMDocument.","[XML2Array]輸入XML對象的類型應該是：DOMDocument。"
"'[XMLParser] Illegal character in attribute name. attribute: ' . . ' in node: ' .","'[XMLParser]屬性名稱中的非法字符。屬性：'。 。 'in node：'。"
"'[XMLParser] Illegal character in tag name. tag: ' . . ' in node: ' .","'[XMLParser]標籤名稱中存在非法字符。標籤： ' 。 。 'in node：'。"
"Please review your address and make any necessary changes.","請檢查您的地址並進行必要的更改。"
"Suggested Address ...","建議地址 ..."
"Address Validation Failed","地址驗證失敗"
"Continue","繼續"
"Address Validation","地址驗證"
"IWD Agency","IWD機構"
"Info","信息"
"Version","版"
"Documentation","文檔"
"General","一般"
"Enable","啟用"
"Allow Invalid Address Checkout","允許無效的地址簽出"
"If yes, then customers with an invalid address will be able to place their order. If no, customer will have to provide a valid address to place order.","如果是，那麼具有無效地址的客戶將能夠下訂單。如果否，客戶將不得不提供有效地址以下訂單。"
"Content","內容"
"Validation Pop-up Title","驗證彈出標題"
"Invalid Address Message","無效的地址信息"
"Original Address","原始地址"
"Suggested Address","建議地址"
"Validation Settings","驗證設置"
"Validation Service","驗證服務"
"Test Mode","測試模式"
"Login","登錄"
"Password","密碼"
"Access Key","訪問密鑰"
"Display Address Type","顯示地址類型"
"Allow to display type (Residential/Commercial) of suggested address in validation pop-up.","允許在驗證彈出窗口中顯示建議地址的類型（住宅/商業）。"
"Account ID","帳戶ID"
"API Key","API密鑰"
"<a href=""https://developers.google.com/maps/documentation/geocoding/get-api-key"" target=""_blank"">Get a Key for Google Maps Geocoding API.</a>","<a href=""https://developers.google.com/maps/documentation/geocoding/get-api-key"" target=""_blank"">獲取Google地圖地理編碼API的密鑰</a>。"
"Use Original Address","使用原始地址"
"Use Suggested Address","使用建議地址"
"Please review your billing address and make any necessary changes.","請檢查您的帳單地址並進行必要的更改。"
